App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,In-App Purchases,Ad Supported,Price_zscore,Price_MinMax,Price_Standard
Maker,FAMILY,3.3,1001326.0,81.9M,"50,000,000+",Free,0.0,Everyone,Family,2026-06-16,1.15.68,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Chat,ARTIFICIAL_INTELLIGENCE,3.6,997533.0,85.4M,"50,000,000+",Free,0.0,Everyone,Artificial Intelligence,2025-05-01,5.20.96,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor,PRODUCTIVITY,4.3,958162.0,130.6M,"50,000,000+",Free,0.0,Everyone,Productivity,2024-12-15,9.4.47,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Drive App,PHOTOGRAPHY,4.0,852994.0,Varies with device,"50,000,000+",Free,0.0,Everyone,Photography,2025-07-23,Varies with device,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash Online,FAMILY,4.3,594416.0,63.8M,"50,000,000+",Free,0.0,Everyone,Family,2025-08-22,14.18.71,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Maker App,GAME,4.5,513182.0,105.5M,"50,000,000+",Free,0.0,Teen,Game;Puzzle,2025-08-17,13.4.95,12.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Pro Scanner,FAMILY,4.1,265555.0,Varies with device,"50,000,000+",Free,0.0,Everyone,Family,2026-02-07,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Super Player AI,MAPS_AND_NAVIGATION,3.8,491104.0,96.7M,"10,000,000+",Free,0.0,Everyone,Maps And Navigation;Creativity,2024-11-30,13.12.84,4.4 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Daily Chat,GAME,3.7,487186.0,Varies with device,"10,000,000+",Free,0.0,Everyone,Game;Puzzle,2026-03-24,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pro Scanner 3D,EDUCATION,5.0,446244.0,78.1M,"10,000,000+",Free,0.0,Everyone 10+,Education,2023-10-13,15.14.26,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor Online,TOOLS,3.7,434994.0,6.4M,"10,000,000+",Free,0.0,Everyone,Tools,2023-10-03,5.15.86,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Now,GAME,4.4,420468.0,68.0M,"10,000,000+",Free,0.0,Everyone 10+,Game;Casual,2025-11-25,11.14.54,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Scanner Space,PERSONALIZATION,3.8,417197.0,67.4M,"10,000,000+",Free,0.0,Everyone,Personalization,2026-05-11,14.3.2,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet,PRODUCTIVITY,4.9,407582.0,122.0M,"10,000,000+",Free,0.0,Unrated,Productivity,2026-04-28,4.3.33,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Scanner Space,FAMILY,4.6,401443.0,132.0M,"10,000,000+",Free,0.0,Everyone,Family,2025-11-27,7.17.99,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,PHOTOGRAPHY,4.5,378914.0,Varies with device,"10,000,000+",Free,0.0,Everyone,Photography,2026-05-11,Varies with device,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker,TOOLS,2.9,360830.0,24.1M,"10,000,000+",Free,0.0,Everyone 10+,Tools,2025-06-17,2.11.33,11.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Drive,LIBRARIES_AND_DEMO,4.8,358601.0,31.9M,"10,000,000+",Free,0.0,Everyone 10+,Libraries And Demo,2026-03-18,1.14.84,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor,TOOLS,3.2,354650.0,Varies with device,"10,000,000+",Free,0.0,Everyone,Tools,2024-06-21,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,GAME,4.4,352424.0,337.0M,"10,000,000+",Free,0.0,Everyone 10+,Game;Casual,2026-01-14,5.6.77,5.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Smart Scanner Online,FOOD_AND_DRINK,3.2,316452.0,59.3M,"10,000,000+",Free,0.0,Mature 17+,Food And Drink,2025-12-01,2.14.65,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser Hub,GAME,5.0,312503.0,942.5M,"10,000,000+",Free,0.0,Everyone,Game;Casual,2024-01-10,8.2.72,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Chat,SOCIAL,3.1,302854.0,111.2M,"10,000,000+",Free,0.0,Everyone,Social;Creativity,2025-03-27,7.17.65,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN 2024,PARENTING,3.5,264914.0,110.9M,"10,000,000+",Free,0.0,Mature 17+,Parenting,2025-12-11,14.13.23,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Fit,EDUCATION,4.6,264840.0,122.6M,"10,000,000+",Free,0.0,Teen,Education;Creativity,2026-03-13,6.1.24,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Maker,PRODUCTIVITY,4.2,253632.0,55.3M,"10,000,000+",Free,0.0,Everyone,Productivity,2024-12-23,5.9.30,7.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft Go,FAMILY,4.4,207718.0,42.5M,"10,000,000+",Free,0.0,Everyone,Family,2025-11-10,6.18.29,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn,TOOLS,4.4,200527.0,Varies with device,"10,000,000+",Free,0.0,Everyone,Tools,2026-04-29,Varies with device,5.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
VPN,FAMILY,3.5,195173.0,127.5M,"10,000,000+",Free,0.0,Everyone,Family,2022-11-20,6.3.68,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Maker,FINANCE,4.4,190806.0,78.3M,"10,000,000+",Free,0.0,Everyone,Finance,2026-04-29,14.6.33,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
My Craft,FAMILY,4.2,179317.0,72.0M,"10,000,000+",Free,0.0,Teen,Family;Creativity,2025-09-07,11.14.40,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,VIDEO_PLAYERS,3.7,168973.0,279.7M,"10,000,000+",Free,0.0,Everyone 10+,Video Players;Creativity,2025-06-24,7.6.13,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay Space,GAME,3.8,150444.0,Varies with device,"10,000,000+",Free,0.0,Everyone,Game;Action,2025-09-27,Varies with device,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
My Editor,FAMILY,4.4,124201.0,89.5M,"10,000,000+",Free,0.0,Everyone 10+,Family,2026-01-26,4.9.75,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN Premium,MEDICAL,4.0,112317.0,26.0M,"10,000,000+",Free,0.0,Everyone,Medical;Creativity,2025-03-05,6.0.21,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Crypto Health,PRODUCTIVITY,3.9,70919.0,18.8M,"10,000,000+",Free,0.0,Everyone,Productivity,2025-08-16,8.20.86,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser,LIFESTYLE,4.7,240255.0,52.2M,"5,000,000+",Free,0.0,Everyone,Lifestyle,2025-11-10,10.6.94,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,WEATHER,4.4,225909.0,135.2M,"5,000,000+",Free,0.0,Everyone,Weather,2026-05-08,14.7.0,6.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Player,ARTIFICIAL_INTELLIGENCE,3.6,224820.0,62.8M,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence,2025-09-23,2.8.11,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn,TOOLS,4.6,218963.0,62.9M,"5,000,000+",Paid,0.99,Everyone,Tools,2025-03-09,12.20.2,9.0 and up,No,No,0.18529030280934974,0.0024750618765469134,0.18529030280934974
Strike 3D 2023,VIDEO_PLAYERS,4.7,217671.0,287.7M,"5,000,000+",Free,0.0,Teen,Video Players,2026-02-19,1.13.59,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Drive,PHOTOGRAPHY,3.9,214179.0,63.1M,"5,000,000+",Free,0.0,Everyone,Photography,2024-03-03,14.3.27,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health,PHOTOGRAPHY,3.7,211861.0,257.0M,"5,000,000+",Free,0.0,Everyone,Photography,2025-02-10,4.2.98,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Hyper Editor 3D,HOUSE_AND_HOME,4.5,208963.0,103.5M,"5,000,000+",Free,0.0,Everyone,House And Home,2026-03-04,7.3.44,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor 3D,PRODUCTIVITY,3.8,207595.0,77.1M,"5,000,000+",Free,0.0,Everyone,Productivity,2024-08-06,10.1.29,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Lite Strike Space,GAME,3.1,205902.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Game;Casual,2026-03-02,Varies with device,Varies with device,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN Plus,FOOD_AND_DRINK,4.2,202893.0,19.4M,"5,000,000+",Free,0.0,Mature 17+,Food And Drink,2025-03-04,7.13.73,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor 2026,GAME,4.4,202799.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Game;Board,2026-02-19,Varies with device,12.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Editor AI,FAMILY,4.9,201482.0,44.6M,"5,000,000+",Paid,4.99,Everyone,Family,2025-10-18,11.16.87,10.0 and up,No,No,1.1446164645756711,0.01247531188279707,1.1446164645756711
Tracker,VIDEO_PLAYERS,3.9,199801.0,96.8M,"5,000,000+",Free,0.0,Everyone,Video Players;Creativity,2024-08-12,6.9.48,7.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Health,PRODUCTIVITY,4.6,196857.0,61.6M,"5,000,000+",Free,0.0,Everyone,Productivity,2024-05-23,2.2.47,Varies with device,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Chat Premium,ARTIFICIAL_INTELLIGENCE,5.0,195989.0,146.6M,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence,2023-10-26,10.3.93,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,EDUCATION,3.7,191913.0,124.4M,"5,000,000+",Free,0.0,Everyone,Education,2023-04-11,9.4.27,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft,LIBRARIES_AND_DEMO,4.0,191879.0,16.2M,"5,000,000+",Free,0.0,Everyone,Libraries And Demo,2023-08-28,15.4.85,5.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Craft,GAME,2.9,188525.0,1500.3M,"5,000,000+",Free,0.0,Everyone,Game;Board,2024-10-13,4.17.47,11.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Strike,BUSINESS,3.6,178781.0,121.2M,"5,000,000+",Free,0.0,Everyone,Business,2023-05-06,2.19.1,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Hyper Connect,PRODUCTIVITY,3.6,178641.0,10.0M,"5,000,000+",Free,0.0,Everyone,Productivity,2026-01-09,13.4.82,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Wallet 2023,TOOLS,4.8,176762.0,44.5M,"5,000,000+",Free,0.0,Everyone,Tools,2024-02-21,4.13.32,7.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Wallet,TOOLS,4.0,174177.0,Varies with device,"5,000,000+",Free,0.0,Mature 17+,Tools;Creativity,2026-03-22,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Lite Chat AI,FAMILY,3.7,172830.0,54.0M,"5,000,000+",Free,0.0,Everyone 10+,Family,2026-03-16,2.18.10,7.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash,ARTIFICIAL_INTELLIGENCE,4.3,170812.0,110.1M,"5,000,000+",Free,0.0,Teen,Artificial Intelligence,2024-08-03,12.7.51,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft Go,PRODUCTIVITY,4.6,169217.0,140.2M,"5,000,000+",Free,0.0,Everyone,Productivity,2026-03-20,13.17.40,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Now,EVENTS,4.7,168842.0,45.7M,"5,000,000+",Free,0.0,Everyone,Events,2026-04-16,12.6.39,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Drive 3D,FAMILY,5.0,166397.0,51.4M,"5,000,000+",Free,0.0,Teen,Family,2025-07-23,8.19.10,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet,TOOLS,4.6,160439.0,43.5M,"5,000,000+",Free,0.0,Everyone,Tools,2025-04-05,7.7.63,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor,FINANCE,2.9,154657.0,58.6M,"5,000,000+",Free,0.0,Everyone,Finance,2025-08-28,8.3.96,Varies with device,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Dash,GAME,5.0,144223.0,67.9M,"5,000,000+",Free,0.0,Everyone,Game;Simulation,2026-05-05,5.8.66,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health,ARTIFICIAL_INTELLIGENCE,4.1,141119.0,75.1M,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence;Creativity,2025-11-01,14.5.53,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,PRODUCTIVITY,3.6,139677.0,54.9M,"5,000,000+",Free,0.0,Everyone 10+,Productivity,2024-05-31,9.20.85,6.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Player,PRODUCTIVITY,4.2,138637.0,27.5M,"5,000,000+",Free,0.0,Mature 17+,Productivity,2026-03-28,12.2.58,9.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Editor,PRODUCTIVITY,3.3,136470.0,34.2M,"5,000,000+",Free,0.0,Everyone 10+,Productivity,2026-05-05,2.8.5,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat Now,TOOLS,4.6,133800.0,125.2M,"5,000,000+",Free,0.0,Everyone,Tools,2025-06-10,1.7.13,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Space,PRODUCTIVITY,4.0,131819.0,63.1M,"5,000,000+",Free,0.0,Everyone,Productivity,2025-10-29,10.16.46,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Browser,EDUCATION,3.7,129678.0,59.2M,"5,000,000+",Free,0.0,Everyone,Education,2024-04-30,15.13.78,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Scanner,COMMUNICATION,4.8,129464.0,118.7M,"5,000,000+",Free,0.0,Everyone,Communication,2025-11-06,10.11.54,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash,WEB3_AND_CRYPTO,4.6,127624.0,99.2M,"5,000,000+",Free,0.0,Mature 17+,Web3 And Crypto,2025-05-20,2.16.31,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Fit,FAMILY,4.2,126465.0,46.1M,"5,000,000+",Free,0.0,Teen,Family,2025-01-13,8.11.48,5.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay,FOOD_AND_DRINK,3.9,119672.0,118.1M,"5,000,000+",Free,0.0,Everyone,Food And Drink,2026-02-28,12.2.40,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat,GAME,3.9,112360.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Game;RPG,2025-09-14,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,ARTIFICIAL_INTELLIGENCE,4.0,111334.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence,2025-11-19,Varies with device,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Maker,ARTIFICIAL_INTELLIGENCE,4.9,109935.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence,2022-04-03,Varies with device,12.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Fit Online,PHOTOGRAPHY,4.3,109624.0,153.9M,"5,000,000+",Free,0.0,Everyone,Photography,2025-09-15,9.0.48,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner,GAME,4.1,105590.0,599.1M,"5,000,000+",Free,0.0,Teen,Game;Card,2023-09-11,14.10.80,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Fit 2023,ARTIFICIAL_INTELLIGENCE,5.0,98079.0,124.3M,"5,000,000+",Free,0.0,Everyone,Artificial Intelligence,2026-06-12,10.11.83,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,BOOKS_AND_REFERENCE,3.5,92750.0,55.8M,"5,000,000+",Paid,1.99,Everyone,Books And Reference,2026-02-19,7.11.22,10.0 and up,No,No,0.42512184325093005,0.004975124378109453,0.42512184325093005
Browser,MAPS_AND_NAVIGATION,4.1,92078.0,109.7M,"5,000,000+",Paid,4.99,Everyone,Maps And Navigation,2025-11-14,6.17.15,12.0 and up,No,No,1.1446164645756711,0.01247531188279707,1.1446164645756711
AI Connect,BUSINESS,2.8,89918.0,43.1M,"5,000,000+",Free,0.0,Everyone,Business,2024-03-26,10.4.92,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Daily Maker,TOOLS,4.0,85577.0,8.4M,"5,000,000+",Free,0.0,Everyone,Tools,2026-03-07,2.18.14,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect App,ARTIFICIAL_INTELLIGENCE,4.3,84443.0,113.8M,"5,000,000+",Free,0.0,Everyone 10+,Artificial Intelligence,2025-07-29,2.18.39,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker 2025,MAPS_AND_NAVIGATION,4.7,83749.0,63.7M,"5,000,000+",Free,0.0,Teen,Maps And Navigation,2025-11-30,2.13.91,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft Plus,SOCIAL,2.5,81901.0,145.5M,"5,000,000+",Free,0.0,Everyone,Social,2025-05-25,9.17.74,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Drive Space,FAMILY,3.7,80723.0,55.3M,"5,000,000+",Free,0.0,Teen,Family,2024-09-09,5.7.13,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Strike App,ARTIFICIAL_INTELLIGENCE,4.1,80135.0,148.5M,"5,000,000+",Free,0.0,Mature 17+,Artificial Intelligence,2023-08-07,2.19.42,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,FAMILY,3.6,79037.0,116.0M,"5,000,000+",Free,0.0,Everyone,Family,2025-07-31,6.19.7,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat,FINANCE,3.8,73751.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Finance,2025-12-10,Varies with device,11.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Fit,HOUSE_AND_HOME,3.5,59004.0,11.5M,"5,000,000+",Free,0.0,Everyone 10+,House And Home,2023-08-07,9.4.29,7.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Scanner 3D,GAME,5.0,56867.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Game;Puzzle,2026-03-07,Varies with device,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Easy Planner Premium,TRAVEL_AND_LOCAL,4.1,45659.0,39.1M,"5,000,000+",Free,0.0,Everyone,Travel And Local,2024-03-04,9.1.81,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor_8702,PRODUCTIVITY,4.7,41012.0,19.5M,"5,000,000+",Free,0.0,Everyone 10+,Productivity,2026-06-22,10.15.91,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat,FAMILY,3.7,35334.0,96.5M,"5,000,000+",Free,0.0,Everyone 10+,Family,2024-03-01,6.14.8,6.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Connect 2025,PRODUCTIVITY,4.2,33431.0,84.3M,"5,000,000+",Free,0.0,Adults only 18+,Productivity;Creativity,2025-02-12,3.15.53,8.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Player,PRODUCTIVITY,4.2,31345.0,86.5M,"5,000,000+",Free,0.0,Everyone,Productivity;Creativity,2023-08-01,15.8.85,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Crypto Planner Now,GAME,4.8,28828.0,Varies with device,"5,000,000+",Free,0.0,Everyone,Game;Card,2025-11-23,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,EVENTS,3.0,26873.0,116.3M,"5,000,000+",Free,0.0,Everyone,Events,2024-06-21,1.9.27,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,FAMILY,3.4,49581.0,Varies with device,"1,000,000+",Paid,0.99,Everyone,Family,2023-01-22,Varies with device,10.0 and up,No,No,0.18529030280934974,0.0024750618765469134,0.18529030280934974
Connect,PRODUCTIVITY,3.6,49327.0,24.8M,"1,000,000+",Free,0.0,Everyone,Productivity,2025-09-07,4.16.0,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Epic Chat,FAMILY,3.8,48677.0,148.3M,"1,000,000+",Free,0.0,Teen,Family;Creativity,2025-01-30,5.5.71,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player AI,PRODUCTIVITY,4.0,48630.0,83.5M,"1,000,000+",Free,0.0,Everyone 10+,Productivity,2025-08-15,2.11.82,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser,SHOPPING,5.0,48459.0,10.3M,"1,000,000+",Free,0.0,Everyone,Shopping,2026-04-16,14.15.4,5.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
